
d_power_eur_mwh,d_gas_eur_mwh,d_eua_eur_t,clean_spark
-10,-10,-10,-4.2865
-10,-10,-5,-6.0365
-10,-10,0,-7.7865
-10,-10,5,-9.5365
-10,-10,10,-11.2865
-10,-5,-10,-13.786499999999993
-10,-5,-5,-15.536499999999993
-10,-5,0,-17.286499999999993
-10,-5,5,-19.036499999999993
-10,-5,10,-20.786499999999993
-10,0,-10,-23.286499999999993
-10,0,-5,-25.036499999999993
-10,0,0,-26.786499999999993
-10,0,5,-28.536499999999993
-10,0,10,-30.286499999999993
-10,5,-10,-32.78649999999999
-10,5,-5,-34.53649999999999
-10,5,0,-36.28649999999999
-10,5,5,-38.03649999999999
-10,5,10,-39.78649999999999
-10,10,-10,-42.28649999999999
-10,10,-5,-44.03649999999999
-10,10,0,-45.78649999999999
-10,10,5,-47.53649999999999
-10,10,10,-49.28649999999999
-5,-10,-10,0.7134999999999998
-5,-10,-5,-1.0365000000000002
-5,-10,0,-2.7865
-5,-10,5,-4.5365
-5,-10,10,-6.2865
-5,-5,-10,-8.786499999999993
-5,-5,-5,-10.536499999999993
-5,-5,0,-12.286499999999993
-5,-5,5,-14.036499999999993
-5,-5,10,-15.786499999999993
-5,0,-10,-18.286499999999993
-5,0,-5,-20.036499999999993
-5,0,0,-21.786499999999993
-5,0,5,-23.536499999999993
-5,0,10,-25.286499999999993
-5,5,-10,-27.786499999999993
-5,5,-5,-29.536499999999993
-5,5,0,-31.286499999999993
-5,5,5,-33.03649999999999
-5,5,10,-34.78649999999999
-5,10,-10,-37.28649999999999
-5,10,-5,-39.03649999999999
-5,10,0,-40.78649999999999
-5,10,5,-42.53649999999999
-5,10,10,-44.28649999999999
0,-10,-10,5.7135
0,-10,-5,3.9635
0,-10,0,2.2135
0,-10,5,0.4634999999999998
0,-10,10,-1.2865000000000002
0,-5,-10,-3.786499999999993
0,-5,-5,-5.536499999999993
0,-5,0,-7.286499999999993
0,-5,5,-9.036499999999993
0,-5,10,-10.786499999999993
0,0,-10,-13.286499999999993
0,0,-5,-15.036499999999993
0,0,0,-16.786499999999993
0,0,5,-18.536499999999993
0,0,10,-20.286499999999993
0,5,-10,-22.786499999999993
0,5,-5,-24.536499999999993
0,5,0,-26.286499999999993
0,5,5,-28.036499999999993
0,5,10,-29.786499999999993
0,10,-10,-32.28649999999999
0,10,-5,-34.03649999999999
0,10,0,-35.78649999999999
0,10,5,-37.53649999999999
0,10,10,-39.28649999999999
5,-10,-10,10.7135
5,-10,-5,8.9635
5,-10,0,7.2135
5,-10,5,5.4635
5,-10,10,3.7135
5,-5,-10,1.213500000000007
5,-5,-5,-0.5364999999999931
5,-5,0,-2.286499999999993
5,-5,5,-4.036499999999993
5,-5,10,-5.786499999999993
5,0,-10,-8.286499999999993
5,0,-5,-10.036499999999993
5,0,0,-11.786499999999993
5,0,5,-13.536499999999993
5,0,10,-15.286499999999993
5,5,-10,-17.786499999999993
5,5,-5,-19.536499999999993
5,5,0,-21.286499999999993
5,5,5,-23.036499999999993
5,5,10,-24.786499999999993
5,10,-10,-27.286499999999993
5,10,-5,-29.036499999999993
5,10,0,-30.786499999999993
5,10,5,-32.53649999999999
5,10,10,-34.28649999999999
10,-10,-10,15.7135
10,-10,-5,13.9635
10,-10,0,12.2135
10,-10,5,10.4635
10,-10,10,8.7135
10,-5,-10,6.213500000000007
10,-5,-5,4.463500000000007
10,-5,0,2.713500000000007
10,-5,5,0.9635000000000069
10,-5,10,-0.7864999999999931
10,0,-10,-3.286499999999993
10,0,-5,-5.036499999999993
10,0,0,-6.786499999999993
10,0,5,-8.536499999999993
10,0,10,-10.286499999999993
10,5,-10,-12.786499999999993
10,5,-5,-14.536499999999993
10,5,0,-16.286499999999993
10,5,5,-18.036499999999993
10,5,10,-19.786499999999993
10,10,-10,-22.286499999999993
10,10,-5,-24.036499999999993
10,10,0,-25.786499999999993
10,10,5,-27.536499999999993
10,10,10,-29.286499999999993
